# Ukraine Peptide Price Index — 2026-08 — CC-BY-4.0 — https://peps.co.ua
peptide,dose_mg,shops,offers,min_uah_per_mg,median_uah_per_mg,max_uah_per_mg
5-amino-1mq,100,4,4,29,39,40
aod-9604,5,3,3,140,249,249
bpc-157,5,18,24,155,209,282
bpc-157,10,9,11,156,215,600
cagrilintide,10,4,4,476,606,1250
cagrilintide,20,9,9,701,825,875
cjc-1295,2,10,10,170,248,509
cjc-1295,5,8,7,193,324,780
epitalon,10,7,8,120,142,197
epitalon,20,13,15,93,180,500
epitalon,50,4,4,60,71,104
ghk-cu,50,5,5,25,30,37
ghk-cu,100,14,16,37,40,95
ghrp-2,5,11,13,36,68,90
ghrp-2,10,6,6,58,67,69
ghrp-6,5,13,14,45,68,198
ghrp-6,10,5,5,58,64,69
hexarelin,2,3,3,345,345,345
hexarelin,5,4,4,92,168,260
hgh-176-191,5,12,13,116,160,290
ipamorelin,5,11,13,78,134,298
ipamorelin,10,9,9,200,380,980
melanotan-2,10,11,8,69,76,102
mots-c,5,4,3,270,350,376
mots-c,10,15,15,250,430,1100
mots-c,20,11,12,154,421,441
pt-141,10,8,8,72,118,385
retatrutide,6,5,5,800,890,1417
retatrutide,10,8,9,360,700,1700
retatrutide,12,3,3,742,1258,1258
retatrutide,20,17,19,300,840,895
retatrutide,30,5,6,360,475,660
retatrutide,40,8,9,313,388,500
selank,10,7,5,385,385,1050
semaglutide,2,4,4,742,1250,1250
semaglutide,5,17,23,450,1300,1870
semaglutide,6,3,3,890,1350,1583
semax,30,7,5,133,140,317
sermorelin,5,3,2,1260,1260,1260
tb-500,2,10,10,270,310,398
tb-500,5,12,12,213,295,880
tb-500,10,4,4,231,355,680
tesamorelin,10,3,3,560,900,1300
tirzepatide,2.5,6,4,480,700,800
tirzepatide,5,14,13,400,560,1098
tirzepatide,7.5,6,6,400,467,623
tirzepatide,10,8,9,400,1090,2360
tirzepatide,15,14,16,406,850,1933
tirzepatide,20,13,13,275,732,900
tirzepatide,30,6,7,333,467,833
tirzepatide,40,5,7,233,388,800
tirzepatide,60,6,7,233,300,700
