peptide,validation_status,as_of,suppliers,p25_uah_per_mg,median_uah_per_mg,p75_uah_per_mg
5-amino-1mq,limited,2026-08-16,4,34,39,40
aod-9604,limited,2026-08-16,3,164,187,254
bpc-157,ok,2026-08-16,18,179,485,740
cagrilintide,ok,2026-08-16,10,663,780,825
cjc-1295,ok,2026-08-16,17,230,320,458
epitalon,ok,2026-08-16,18,106,185,200
ghk-cu,ok,2026-08-16,20,37,40,42
ghrp-2,ok,2026-08-16,10,63,68,87
ghrp-6,ok,2026-08-16,12,64,69,210
hexarelin,limited,2026-08-16,4,94,151,215
hgh-176-191,ok,2026-08-16,10,140,244,640
ipamorelin,ok,2026-08-16,18,116,225,378
melanotan-2,ok,2026-08-16,10,73,97,350
mots-c,ok,2026-08-16,21,333,420,441
nad-plus,limited,2026-08-16,3,27,29,34
pt-141,ok,2026-08-16,7,117,370,383
retatrutide,ok,2026-08-16,25,375,590,750
selank,ok,2026-08-16,6,372,385,385
semaglutide,ok,2026-08-16,18,883,1305,1525
semax,ok,2026-08-16,6,135,140,140
sermorelin,limited,2026-08-16,3,765,1260,1260
tb-500,ok,2026-08-16,19,274,290,666
tesamorelin,limited,2026-08-16,3,590,620,960
tirzepatide,ok,2026-08-16,33,400,472,710
